指令(普通對話=$0|使用中間的對話框=$1|發出音效=$2|改變背景音樂=$3|離開故事(更換場景)=$4),背景圖片|(音效)|(音樂),頭像,名字($0=淨空),對話內容($0=淨空)
$1$3,background|maou_piano_37,background,$0,那是個優閒的夏日午後...\n溫暖的陽光，徐徐的微風...\n一切都是那麼的美好...
$1,background,background,$0,就讀彰化師範大學的我，是個富有文藝氣息的青年，\n但或許是命運弄人，到現在我都還是孤身一人。
$1,background,background,$0,唉，好想要交女朋友啊。
$1,background,background,$0,就在此時，我看到路邊有一個紙箱，發出了動物的叫聲。
$0,town,background,【主角】,這個是...
$0,town,background,【主角】,箱子裡裝著一隻貓跟狐狸。\n大概是被棄養的吧...\n現代的人養寵物真是不負責任。
$0,town,background,【主角】,真可憐...
$0,town,background,【貓】,喵，喵，喵。
$0,town,background,【狐狸】,狐，狐，狐。
$0,town,background,【主角】,這狐狸的叫聲真怪。\n但是...總不能把牠們丟在這裡。\n偷偷帶回房間養吧...\n反正那裏也只有我一個人。
$1,background,background,$0,我蹲下身子，把箱子抱起。\n緊緊的靠著胸膛。\n看著箱子裡面的兩隻動物，真是可愛...\n怎麼會有王八蛋把牠們給丟了呢？
$1,background,background,$0,回到家之後，我把堆著滿地的雜物給推開，\n並用舊衣服堆出了個可以讓牠們兩個窩著的地方。
$0,Title,background,【主角】,好了，\n歡迎光臨你們的新家。
$0$2$3,Title|Ice2|DRAMATIC_GIRLY,background,【主角】,嗯？\n怎麼了！？
$1,background,background,$0,當我察覺這兩隻小動物的身體逐漸膨脹的同時...
$1,background,background,$0,突如其來的白光，遮蔽了我的視線。
$1,background,background,$0,待我的靈魂之窗逐漸找到焦點後，眼前的兩隻小動物消失了...
$1,background,background,$0,取而代之是兩個可愛的少女。
$0,Title,Cat2_14,【貓娘】,現在的社會果然還是處處充滿了溫情，\n雖然這裡看起來很破舊，但我們就不客氣在你家裏打擾了。\n是說狐狸你剛剛那是什麼奇怪的叫聲？
$0,Title,Fox1_9,【狐娘】,狐狸要怎麼叫？要你管喔？
$0,Title,Fox2_4,【狐娘】,我們這樣子偷跑進別家家裡，妳居然還說人家家裡破舊，\n會不會太不要臉了點？\n待會人家把我們趕出去，我們不就又流離失所了。\n雖然這裡真的很破舊。
$0,Title,background,【主角】,等等...狐狸小姐，你好像也沒資格這樣說。
